DATE,CASTHPI
1975-01-01,41.7
1975-04-01,42.75
1975-07-01,44.31
1975-10-01,45.76
1976-01-01,47.8
1976-04-01,50.27
1976-07-01,53.57
1976-10-01,55.57
1977-01-01,58.01
1977-04-01,63.0
1977-07-01,67.96
1977-10-01,70.68
1978-01-01,73.21
1978-04-01,75.98
1978-07-01,78.62
1978-10-01,81.81
1979-01-01,84.86
1979-04-01,88.64
1979-07-01,93.09
1979-10-01,96.39
1980-01-01,100.00
1980-04-01,102.85
1980-07-01,106.54
1980-10-01,108.38
1981-01-01,110.4
1981-04-01,112.94
1981-07-01,116.32
1981-10-01,117.52
1982-01-01,104.2
1982-04-01,107.37
1982-07-01,104.84
1982-10-01,115.85
1983-01-01,116.7
1983-04-01,117.43
1983-07-01,117.23
1983-10-01,117.75
1984-01-01,119.49
1984-04-01,120.11
1984-07-01,121.69
1984-10-01,122.77
1985-01-01,124.51
1985-04-01,126.31
1985-07-01,129.17
1985-10-01,130.57
1986-01-01,132.26
1986-04-01,134.8
1986-07-01,137.75
1986-10-01,141.11
1987-01-01,144.73
1987-04-01,148.28
1987-07-01,152.95
1987-10-01,157.25
1988-01-01,163.04
1988-04-01,169.74
1988-07-01,177.79
1988-10-01,187.52
1989-01-01,196.31
1989-04-01,205.96
1989-07-01,217.87
1989-10-01,224.71
1990-01-01,227.49
1990-04-01,228.21
1990-07-01,230.15
1990-10-01,228.62
1991-01-01,228.54
1991-04-01,227.12
1991-07-01,227.12
1991-10-01,228.79
1992-01-01,227.58
1992-04-01,225.23
1992-07-01,224.79
1992-10-01,222.69
1993-01-01,219.24
1993-04-01,217.36
1993-07-01,215.52
1993-10-01,214.24
1994-01-01,212.12
1994-04-01,206.97
1994-07-01,203.93
1994-10-01,201.04
1995-01-01,199.7
1995-04-01,201.6
1995-07-01,203.95
1995-10-01,203.62
1996-01-01,203.6
1996-04-01,201.0
1996-07-01,200.62
1996-10-01,201.67
1997-01-01,202.62
1997-04-01,204.66
1997-07-01,208.7
1997-10-01,212.35
1998-01-01,216.99
1998-04-01,221.72
1998-07-01,227.58
1998-10-01,231.97
1999-01-01,235.46
1999-04-01,239.46
1999-07-01,244.96
1999-10-01,250.16
2000-01-01,261.03
2000-04-01,268.06
2000-07-01,277.05
2000-10-01,285.62
2001-01-01,296.66
2001-04-01,305.74
2001-07-01,312.16
2001-10-01,316.55
2002-01-01,325.01
2002-04-01,336.04
2002-07-01,348.68
2002-10-01,358.88
2003-01-01,367.17
2003-04-01,374.05
2003-07-01,386.73
2003-10-01,411.46
2004-01-01,424.73
2004-04-01,451.33
2004-07-01,497.2
2004-10-01,516.32
2005-01-01,538.9
2005-04-01,570.47
2005-07-01,598.96
2005-10-01,625.69
2006-01-01,638.67
2006-04-01,644.52
2006-07-01,646.63
2006-10-01,642.89
2007-01-01,634.11
2007-04-01,623.49
2007-07-01,600.19
2007-10-01,575.71
2008-01-01,543.42
2008-04-01,498.55
2008-07-01,460.71
2008-10-01,444.83
2009-01-01,440.84
2009-04-01,420.73
2009-07-01,411.43
2009-10-01,412.75
2010-01-01,409.71
2010-04-01,408.5
2010-07-01,410.74
2010-10-01,406.21
2011-01-01,391.71
2011-04-01,385.42
2011-07-01,387.02
2011-10-01,385.85
2012-01-01,381.55
2012-04-01,382.19
2012-07-01,391.12
2012-10-01,399.43
2013-01-01,407.85
2013-04-01,426.58
2013-07-01,447.57
2013-10-01,462.42
2014-01-01,472.05
2014-04-01,484.83
2014-07-01,494.96
2014-10-01,500.58
2015-01-01,505.81
2015-04-01,517.16
2015-07-01,530.34
2015-10-01,537.67
2016-01-01,544.7
2016-04-01,554.35
2016-07-01,566.48
2016-10-01,573.31
2017-01-01,579.28
2017-04-01,591.3
2017-07-01,603.06
2017-10-01,611.72
2018-01-01,622.16
2018-04-01,634.03
2018-07-01,642.04
2018-10-01,641.96
2019-01-01,646.08
2019-04-01,652.67
2019-07-01,659.56
2019-10-01,663.85
2020-01-01,670.09
2020-04-01,677.77
2020-07-01,685.69
2020-10-01,699.83
2021-01-01,719.39
2021-04-01,762.11
2021-07-01,801.71
2021-10-01,834.26
2022-01-01,868.66
2022-04-01,923.66
2022-07-01,917.97
2022-10-01,896.49
2023-01-01,891.69
